#Singles
#Ion,m/z,LSH,RHS,BLHS,BRHS
H+,1,1229,1282,1158,1229
?,1.5,1341,1363,1301,1340
H2+,2,1415,1443,1364,1410
N++,7,1917,1967,1635,1909
O++,8,1992,2041,1971,1992
C+,12,2247,2308,2187,2247
CH+,13,2310,2362,2187,2247
CH2+ / N+,14,2362,2427,2187,2247
?,15,2429,2455,2187,2247
O+,16,2460,2539,2187,2247
OH+,17,2539,2569,2569,2588
H2O+,18,2593,2609,2569,2588
Cl37++,18.5,2615,2654,2569,2588
Ar++,20,2688,2701,2657,2689
?,22,2779,2790,2704,2778
C2+,24,2844,2891,2813,2846
C2H+,25,2891,2931,2813,2846
C2H2+,26,2935,2972,2813,2846
?,26.7,2973,3004,2813,2846
N2+,28,3020,3045,3008,3020
?,28.7,3045,3081,3008,3020
?,30.66,3117,3155,3082,3090
O2+,32,3173,3200,3156,3172
Cl+(35),35,3246,3337,3224,3245
Cl+(37),37,3337,3404,3224,3245
?,38.5,3404,3420,3224,3245
?,39,3423,3439,3224,3245
Ar+,40,3453,3465,3440,3448
?,40.5,3466,3498,3440,3448
?,42.5,3521,3563,3500,3520
?,44,3579,3598,3564,3578
?,45,3610,3629,3599,3609
CCl+(35),47,3641,3695,3630,3640
CClH+(35),48,3699,3721,3630,3640
CCl+(37) / CClH2+(35),49,3728,3757,3630,3640
CClH+(37),50,3757,3788,3630,3640
CClH2+(37),51,3789,3804,3630,3640
?,52.5,3825,3853,3813,3824
?,54.5,3879,3909,3855,3878
?,56.5,3931,3977,3910,3929
?,58,3983,4006,3910,3929
C2Cl+(35),59,4007,4029,3910,3929
C2ClH+,60,4029,4058,3910,3929
C2Cl+(37) / C2ClH2+(35),61,4059,4091,3910,3929
C2ClH+(37),62,4091,4111,3910,3929
C2ClH2+(37),63,4112,4146,3910,3929
?,64,4146,4163,3910,3929
?,68,4246,4271,4178,4237
?,69,4274,4285,4178,4237
?,70,4294,4320,4286,4293
?,72,4347,4370,4326,4346
CCl2+ (35),82,4579,4596,4476,4577
CCl2H+ (35),83,4604,4617,4597,4603
CCl2+ (37),84,4619,4649,4597,4603
CCl2H+ (37),85,4649,4665,4597,4603
?,86,4671,4686,4666,4670
C2Cl2+(35),94,4838,4860,4774,4837
C2Cl2H+(35),95,4860,4879,4774,4837
"DCE+(35) / C2Cl2+(35,37)",96,4879,4909,4774,4837
"C2Cl2H+(35,37)",97,4909,4921,4774,4837
"DCE+(35,37),C2Cl2+(37)",98,4921,4951,4774,4837
C2Cl2H+(37),99,4951,4963,4774,4837
DCE+(37),100,4963,4994,4774,4837
?,101,4994,5009,4774,4837
,,,,,,,,,,,,,,
#Pairs
#Frag. 1,Frag. 2,m/z(1),m/z(2),x1,y1,x2,y2,Box Gradient,FTB,DTC
CCCl+ (35),Cl+ (35),59,35,3976,3321,4063,3264,-1,FALSE,FALSE
,,35-36,61-60,4099,3252,4030,3361,-1.1,TRUE,FALSE
Cl+ (35),C2ClH+ (37),35,62,4130,3254,4081,3325,-1.05,TRUE,FALSE
Cl+ (37),C2ClH+ (35),37,60,4067,3325,4029,3393,-1.1,TRUE,FALSE
,,35-38,63-60,4154,3249,4027,3434,-1.2,TRUE,FALSE
Cl+ (37),C2ClH+ (37),37,62,4130,3318,4082,3393,-1.1,TRUE,FALSE
,,37-38,63-62,4149,3325,4083,3426,-1.1,TRUE,FALSE
,,35-37,47-45,3703,3243,3601,3397,-1.1,TRUE,FALSE
,,35-36,48-47,3736,3250,3665,3359,-1.1,TRUE,FALSE
HCl+ (37),?,38,45,3640,3360,3592,3434,-1,TRUE,FALSE
,,35-39,49-45,3770,3244,3600,3468,-1.12,TRUE,FALSE
,,35-38,50-47,3796,3251,3678,3415,-1.12,TRUE,FALSE
Cl+ (37),CCl+ (37) / H2CCl+ (35),37,49,3776,3309,3723,3398,-1.1,TRUE,FALSE
Cl+ (37),CClH+ (37),37,50,3799,3321,3745,3404,-1.05,TRUE,FALSE
C2+,Cl+ (35),24,35,3246,2876,3337,2870,-0.5,FALSE,FALSE
C2H+,Cl+ (35),25,35,3314,2887,3261,2944,-0.56,TRUE,FALSE
C2H+,ClH+ (35),25,36,3355,2892,3300,2937,-0.56,TRUE,FALSE
C2H+,Cl+ (37),25,37,3388,2890,3357,2927,-0.56,TRUE,FALSE
C2H2+,Cl+ (35),26,35,3245,2964,3336,2950,-0.5,FALSE,FALSE
C2H2+,Cl+ (37),26,37,3317,2962,3401,2952,-0.5,FALSE,FALSE
C+,Cl+ (35),12,35,3237,2254,3335,2301,-0.33,FALSE,FALSE
C+,Cl+ (37),12,37,3324,2273,3422,2283,-0.33,FALSE,FALSE
CH+,Cl+ (35),13,35,3246,2333,3332,2358,-0.4,FALSE,FALSE
CH+,Cl+ (37),13,37,3317,2340,3403,2346,-0.5,FALSE,FALSE
CH2+ / N+,CCl+ (35),14,47,3671,2366,3686,2421,-1,TRUE,FALSE
CH2+ / N+,CCl+ (37),14,49,3739,2368,3748,2422,-1,TRUE,FALSE
CH+,CCl+ (35),13,47,3677,2312,3668,2361,-1,TRUE,FALSE
CH+,CClH+ (35),13,48,3726,2315,3686,2365,-0.7,TRUE,FALSE
CH+,CCl+ (37),13,49,3753,2316,3730,2360,-0.8,TRUE,FALSE
CH+,CClH+ (37),13,50,3779,2313,3755,2362,-0.8,TRUE,FALSE
C+,CCl+ (35),12,47,3707,2248,3657,2304,-0.6,TRUE,FALSE
C+,CClH+ (35),12,48,3740,2255,3685,2305,-0.6,TRUE,FALSE
